condition,kind,round,wallMs,invocationCount,measurementDigest
ceiling-24000,ceiling,9,44.819,4,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
ceiling-24000,ceiling,10,42.123,4,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
ceiling-28000,ceiling,1,29.111,3,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
ceiling-28000,ceiling,2,29.948,3,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
ceiling-28000,ceiling,3,29.250,3,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
ceiling-28000,ceiling,4,30.601,3,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
ceiling-28000,ceiling,5,28.571,3,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
ceiling-28000,ceiling,6,28.703,3,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
ceiling-28000,ceiling,7,29.187,3,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
ceiling-28000,ceiling,8,29.283,3,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
ceiling-28000,ceiling,9,27.864,3,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
ceiling-28000,ceiling,10,29.008,3,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
